SOILCODE,SNAM,KS0,DEPTH0,POROSITY0,FC0,P_INDEX0,RM0,WP0,B_DENSITY0,SAND0,CLAY0,SILT0,USLE_K0,INTERFLOW_SCALE_FACTOR0,KS1,DEPTH1,POROSITY1,FC1,P_INDEX1,RM1,WP1,B_DENSITY1,SAND1,CLAY1,SILT1,USLE_K1,INTERFLOW_SCALE_FACTOR1,KS2,POROSITY2,FC2,P_INDEX2,RM2,WP2,B_DENSITY2,SAND2,CLAY2,SILT2,USLE_K2,INTERFLOW_SCALE_FACTOR2,TEXTURE,HG
1,BKNCL,0.336,10,0.464,0.31,8.32,0.075,0.187,1.27,16.0,37.0,47.0,0.15021477,1.0,0.336,250.0,0.464,0.31,8.32,0.075,0.187,1.27,16.0,37.0,47.0,0.15021477,1.0,0.1745,0.464,0.31,8.32,0.075,0.187,1.54,13.5,47.0,39.5,0.1873,1.0,CL,D
2,BKNSIL,0.336,10,0.501,0.284,4.98,0.015,0.135,1.27,16.0,37.0,47.0,0.15021477,1.0,0.336,250.0,0.501,0.284,4.98,0.015,0.135,1.27,16.0,37.0,47.0,0.15021477,1.0,0.1745,0.501,0.284,4.98,0.015,0.135,1.54,13.5,47.0,39.5,0.1873,1.0,SiL,D
3,BRR,2.463,10,0.453,0.19,4.5,0.041,0.085,1.3,68.0,12.0,20.0,0.133607045,1.0,2.463,270.0,0.453,0.19,4.5,0.041,0.085,1.3,68.0,12.0,20.0,0.133607045,1.0,2.3294,0.453,0.19,4.5,0.041,0.085,1.466,42.4,23.2,34.4,0.189,1.0,SL,C
4,BSB,1.531,10,0.463,0.232,5.77,0.027,0.116,1.22,45.0,13.0,42.0,0.139031403,1.0,1.531,170.0,0.463,0.232,5.77,0.027,0.116,1.22,45.0,13.0,42.0,0.139031403,1.0,1.7306,0.463,0.232,5.77,0.027,0.116,1.422,51.0,11.0,38.0,0.169,1.0,L,B
5,BUF,1.157,10,0.463,0.232,5.77,0.027,0.116,1.26,35.0,12.0,53.0,0.146076407,1.0,1.157,220.0,0.463,0.232,5.77,0.027,0.116,1.26,35.0,12.0,53.0,0.146076407,1.0,1.096,0.463,0.232,5.77,0.027,0.116,1.455,51.75,19.0,29.25,0.1677,1.0,L,A
6,DYK,0.693,10,0.453,0.19,4.5,0.041,0.085,1.3,36.0,18.0,46.0,0.143598779,1.0,0.693,210.0,0.453,0.19,4.5,0.041,0.085,1.3,36.0,18.0,46.0,0.143598779,1.0,5.7973,0.453,0.19,4.5,0.041,0.085,1.45,80.6667,3.6667,15.6667,0.1349,1.0,SL,A
7,GFD,3.154,10,0.463,0.232,5.77,0.027,0.116,1.07,47.0,9.0,44.0,0.142040961,1.0,3.154,140.0,0.463,0.232,5.77,0.027,0.116,1.07,47.0,9.0,44.0,0.142040961,1.0,1.9395,0.463,0.232,5.77,0.027,0.116,1.32,54.5,12.5,33.0,0.157,1.0,L,C
8,HUO,0.379,10,0.501,0.284,4.98,0.015,0.135,1.25,18.0,27.0,55.0,0.159617818,1.0,0.379,200.0,0.501,0.284,4.98,0.015,0.135,1.25,18.0,27.0,55.0,0.159617818,1.0,0.202,0.501,0.284,4.98,0.015,0.135,1.4967,16.0,40.6667,43.3333,0.1843,1.0,SiL,C
9,LTW,0.596,10,0.463,0.232,5.77,0.027,0.116,1.17,25.0,19.0,56.0,0.14984627,1.0,0.596,270.0,0.463,0.232,5.77,0.027,0.116,1.17,25.0,19.0,56.0,0.14984627,1.0,1.397,0.463,0.232,5.77,0.027,0.116,1.5367,41.3333,10.0,48.6667,0.1902,1.0,L,B
10,PTHCL,0.422,10,0.464,0.31,8.32,0.075,0.187,1.26,43.0,15.0,42.0,0.153083892,1.0,0.422,300.0,0.464,0.31,8.32,0.075,0.187,1.26,43.0,15.0,42.0,0.153083892,1.0,0.2313,0.464,0.31,8.32,0.075,0.187,1.525,31.0,33.25,35.75,0.19,1.0,CL,C
11,PTHSIL,0.422,10,0.501,0.284,4.98,0.015,0.135,1.26,22.0,23.0,55.0,0.153083892,1.0,0.422,300.0,0.501,0.284,4.98,0.015,0.135,1.26,22.0,23.0,55.0,0.153083892,1.0,0.2313,0.501,0.284,4.98,0.015,0.135,1.525,22.5,31.25,46.25,0.19,1.0,SiL,C
12,SRG_PTHCL,0.422,10,0.464,0.31,8.32,0.075,0.187,1.26,43.0,15.0,42.0,0.153083892,1.0,0.422,300.0,0.464,0.31,8.32,0.075,0.187,1.26,43.0,15.0,42.0,0.153083892,1.0,0.2313,0.464,0.31,8.32,0.075,0.187,1.525,31.0,33.25,35.75,0.19,1.0,CL,C
13,ZAL,0.494,10,0.463,0.232,5.77,0.027,0.116,1.08,15.0,25.0,60.0,0.178747601,1.0,0.494,190.0,0.463,0.232,5.77,0.027,0.116,1.08,15.0,25.0,60.0,0.178747601,1.0,0.3067,0.463,0.232,5.77,0.027,0.116,1.4233,21.6667,25.3333,53.0,0.1924,1.0,L,C
