storage,area,discharge
0.0,0.0,0.0
20.0,0.0,0.0
70.0,0.04,0.01461471
110.0,0.12,0.02615412
200.0,0.16,0.07684147
450.0,0.71,0.09
669.64,1.2,0.09350819
892.86,1.69,0.09789442
1071.43,2.09,0.1014033
1294.64,2.58,0.1057895
1473.21,2.98,0.1092977
1696.43,3.53,0.1128066
1875.0,3.93,0.1171928
2098.21,4.42,0.1207016
2276.79,4.81,0.1250872
2500.0,5.31,0.1294734
2901.79,7.31,0.1312275
3303.57,9.97,0.1321049
3705.36,12.65,0.1338597
4151.79,16.43,0.1347364
4553.57,20.08,0.1356138
5000.0,22.65,0.1373679
5401.79,25.31,0.1382452
5848.21,28.26,0.14
6250.0,30.93,0.1413151
6696.43,33.9,0.1439472
7098.21,36.56,0.1452633
7544.64,39.52,0.1478945
7946.43,42.18,0.1492106
8392.86,45.16,0.1518417
8794.64,47.82,0.1531578
9241.07,50.77,0.1557889
9642.86,53.43,0.157105
10089.3,56.41,0.1597362
10491.1,59.07,0.1610523
10937.5,63.49,0.1623683
11339.3,66.17,0.1649995
11741.1,68.83,0.1663156
12187.5,71.79,0.1689467
12589.3,74.45,0.1702628
13035.7,78.91,0.1715789
13437.5,81.57,0.1742101
13883.9,84.53,0.1755261
14285.7,87.21,0.1781583
14732.1,90.16,0.1794734
15133.9,92.83,0.1821055
15580.4,97.29,0.1834206
15982.1,99.95,0.1847367
16428.6,102.91,0.1873688
16830.4,105.57,0.1886839
17008.9,107.95,0.19
17010.0,107.95,10.0
