storage,area,discharge
0.0,0.0,0.0
48.0,0.0,0.1087518
76.19,0.02,0.1226061
130.0,0.05,0.1364581
177.78,0.08,0.1481249
236.0,0.11,0.1597918
304.76,0.15,0.1743759
380.95,0.18,0.1896877
457.14,0.22,0.2035419
558.73,0.27,0.2195836
685.71,0.35,0.2319803
812.7,0.42,0.2447998
990.48,0.52,0.2584009
1142.86,0.61,0.2719995
1320.63,0.73,0.283999
1523.81,0.87,0.296001
1701.59,1.01,0.3063989
1904.76,1.16,0.3167993
2107.94,1.35,0.3289998
2336.51,1.53,0.3485008
2539.68,1.72,0.3649988
2768.25,1.94,0.38
2996.83,2.2,0.4024977
3225.4,2.42,0.43
3453.97,2.68,0.4539945
3498.0,2.93,0.46
3911.11,3.2,0.591456
4139.68,3.47,0.8200001
4368.25,3.73,1.169898
4622.22,4.03,1.67
4850.79,4.3,2.300149
5079.37,4.57,2.953418
5307.94,4.89,3.570183
5561.9,5.21,4.37
5790.48,5.57,5.075798
6044.44,5.97,5.899348
6229.0,6.39,6.37
6412.0,6.82,6.950089
6603.17,7.28,7.674868
6653.97,7.64,7.82
