storage,area,discharge
0.0,0.0,0.0
90.0,0.22,0.0
270.0,0.3,0.0
420.0,0.41,0.0
750.0,0.51,0.0
810.0,0.57,0.01922761
930.0,0.72,0.03461674
1080.0,0.83,0.06471011
1260.0,0.97,0.1350534
1582.91,1.09,0.1839292
1980.0,1.39,0.1908937
2462.31,1.8,0.1973221
2940.0,2.16,0.2042866
3341.71,2.5,0.210715
3869.35,2.9,0.2176796
4396.98,3.34,0.2241079
5000.0,3.8,0.23104
5628.14,4.33,0.2372733
6507.54,5.07,0.2435067
7386.93,5.81,0.24974
8266.33,6.55,0.2559734
9145.73,7.38,0.2611684
10376.9,8.7,0.2663634
11432.2,9.71,0.272
12487.4,10.71,0.2793327
13718.6,11.87,0.286
14773.9,13.01,0.2919998
15301.5,14.33,0.2946669
16532.7,15.67,0.3013335
17763.8,16.83,0.3080002
18819.1,17.98,0.3116667
20226.1,19.49,0.3144439
21633.2,21.02,0.3169447
22864.3,22.58,0.3191667
24271.4,24.09,0.3227271
25326.6,25.69,0.3259093
26733.7,27.47,0.329545
28140.7,29.25,0.3331821
29371.9,30.79,0.3368179
30251.3,33.05,0.3381814
31658.3,34.83,0.3416004
33065.3,36.59,0.3447998
34472.4,38.37,0.3480005
35351.8,40.57,0.3495996
36758.8,42.35,0.3528003
38165.8,44.48,0.3556006
39748.7,46.88,0.3580005
40276.4,48.91,0.3592004
41683.4,50.69,0.3606
43090.5,52.79,0.3613001
44673.4,55.19,0.3619
45376.9,57.89,0.3622
46783.9,60.03,0.3628
48366.8,62.03,0.3635999
49949.7,64.43,0.3642999
51356.8,66.56,0.3648999
52939.7,69.55,0.3654999
54522.6,71.94,0.3660999
56105.5,75.9,0.3665
57688.4,78.89,0.3670999
59447.2,82.27,0.3676001
61030.2,86.23,0.3679999
62613.1,89.21,0.3685001
64371.9,92.53,0.369
65954.8,95.52,0.3695999
67889.4,100.02,0.37
67890.0,100.02,10.37
