storage,area,discharge
0.0,0.0,0.0
89.69,0.03,0.0
179.37,0.06,0.04800038
269.06,0.13,0.07150035
358.74,0.26,0.08200046
538.12,0.41,0.1
627.8,0.49,0.1120002
807.18,0.64,0.1239997
986.55,0.81,0.1340003
1165.92,0.96,0.1459997
1614.35,1.18,0.1669994
1883.41,1.4,0.1729999
2152.47,1.66,0.1763333
2511.21,2.0,0.18
2869.96,2.34,0.1855
3318.39,2.76,0.1904999
3677.13,3.1,0.1959999
4125.56,3.52,0.2009998
4573.99,3.95,0.2064998
5022.42,4.42,0.211
5560.54,4.99,0.2159999
6008.97,5.41,0.2209999
6547.09,5.99,0.2259998
6995.52,6.53,0.23
7623.32,7.13,0.2355
8161.43,7.7,0.2400002
8699.55,8.27,0.2445
9327.35,9.04,0.2490002
9865.47,9.6,0.2532558
10493.3,10.27,0.2579069
11031.4,10.93,0.2616279
11659.2,11.69,0.2653489
12287.0,12.35,0.2695348
12825.1,13.06,0.28
13452.9,13.78,0.3635684
14170.4,14.64,0.4624967
14798.2,15.54,0.6099924
15515.7,16.4,0.96
16143.5,17.3,1.362489
16681.6,18.21,1.694979
17309.4,19.27,2.017011
18026.9,20.3,2.346014
18744.4,21.31,2.675018
19461.9,22.32,3.124033
20179.4,23.35,3.872984
20358.7,26.33,3.98
