storage,area,discharge
0.0,0.0,0.0
240.0,0.05,0.0
538.12,0.1,0.09100023
672.65,0.15,0.1112
807.18,0.19,0.1406001
870.0,0.25,0.1466
1080.0,0.4,0.155
1350.0,0.62,0.1627998
1520.0,0.81,0.1675999
1748.88,1.05,0.1741998
2152.47,1.48,0.1805001
2556.05,1.82,0.1888998
2825.11,2.08,0.1965998
3228.7,2.42,0.2042999
3766.82,2.93,0.2119999
4439.46,3.56,0.2196999
4977.58,4.07,0.2266998
5650.22,4.71,0.2343999
6188.34,5.21,0.2419997
6860.99,5.93,0.2520005
7668.16,6.91,0.26
8609.87,7.8,0.2673333
9551.57,9.13,0.2719999
10493.3,10.28,0.2773333
11569.5,11.58,0.2826667
12645.7,13.41,0.2866665
13856.5,15.13,0.2913331
14932.7,16.96,0.2953334
16009.0,18.48,0.3
17219.7,20.54,0.34
18296.0,22.37,0.38
19372.2,23.9,0.4966635
20179.4,26.18,0.5466603
21390.1,29.61,0.6333265
22735.4,33.42,0.7133265
23946.2,35.99,0.8480043
25291.5,39.81,0.96
26502.2,43.24,1.043991
27847.5,47.05,1.173324
29058.3,50.48,1.283324
30269.1,53.92,1.465
31479.8,57.35,1.61
32825.1,61.16,1.945987
34035.9,63.73,2.446016
35381.2,67.54,2.758008
36591.9,70.97,3.165022
37802.7,74.4,3.450014
38609.9,77.83,3.639986
39282.5,80.7,3.924978
39955.2,83.55,4.111517
40627.8,89.29,4.203035
41165.9,91.57,4.477518
42376.7,95.0,4.752
43722.0,98.83,5.118
44932.7,102.26,5.392482
46278.0,106.07,5.758482
46950.7,111.77,5.85
