storage,area,discharge
0.0,0.0,0.01
100.0,0.04,0.01
190.0,0.07,0.04200046
240.0,0.13,0.06
310.0,0.19,0.08087518
400.0,0.27,0.09137538
520.0,0.35,0.1045005
616.59,0.42,0.1167504
672.65,0.49,0.1237498
840.81,0.68,0.1316252
1008.97,0.84,0.140375
1121.08,0.95,0.15
1289.24,1.09,0.1559231
1457.4,1.25,0.1618462
1681.61,1.46,0.1677693
1961.88,1.73,0.1731538
2186.1,1.94,0.1790769
2466.37,2.2,0.1844614
2746.64,2.47,0.1903845
3082.96,2.83,0.1952305
3363.23,3.13,0.2006154
3699.55,3.44,0.2059999
4035.87,3.86,0.2103077
4428.25,4.27,0.2156922
4764.57,4.68,0.22
5156.95,5.1,0.2251427
5493.27,5.46,0.2308569
5885.65,5.94,0.2354284
6278.03,6.35,0.2405715
6670.4,6.91,0.2451427
7118.83,7.55,0.2491427
7511.21,8.02,0.2537142
7959.64,8.66,0.2577142
8352.02,9.21,0.2612
8800.45,9.76,0.2644
9248.88,10.4,0.2672
9697.31,11.16,0.2695999
10089.7,11.83,0.2720001
10538.1,12.6,0.2744
10986.5,13.23,0.2772
11491.0,13.95,0.28
11939.5,14.71,0.2823999
12387.9,15.34,0.2851999
12892.4,16.21,0.2876001
13340.8,16.84,0.2904001
13789.2,17.62,0.2928
14293.7,18.47,0.2948001
14742.2,19.1,0.2979999
15078.5,19.72,0.3
15526.9,20.61,0.3900069
16031.4,21.47,0.4980041
16479.8,22.23,0.6060014
16984.3,23.08,0.7740174
17488.8,23.95,1.001994
17937.2,24.71,1.241969
18441.7,25.57,1.545
18946.2,26.44,1.847992
19394.6,27.2,2.241397
19674.9,28.37,2.432868
19899.1,29.01,2.815735
20067.3,30.41,2.911397
20291.5,31.05,3.294265
20515.7,32.02,3.483357
20796.0,32.8,3.856714
21020.2,34.3,3.95
