storage,area,discharge
0.0,0.0,0.0
71.75,0.05,0.0
143.5,0.11,0.0
215.25,0.14,0.001333605
287.0,0.2,0.0160002
358.74,0.26,0.03199939
502.24,0.32,0.07400015
645.74,0.46,0.08720016
860.99,0.64,0.09799972
1004.48,0.76,0.1088
1219.73,0.97,0.1177998
1363.23,1.09,0.1286001
1578.48,1.27,0.1394003
1793.72,1.48,0.1484002
2008.97,1.66,0.1591998
2224.22,1.86,0.1682003
2511.21,2.11,0.1749999
2798.21,2.38,0.1805
3085.2,2.65,0.1854999
3372.2,2.92,0.1909999
3730.94,3.26,0.1964999
4017.94,3.53,0.2014999
4304.93,3.8,0.2069999
4591.93,4.08,0.2119998
4878.92,4.35,0.2174999
5237.67,4.69,0.2220001
5668.16,5.14,0.2260001
6026.91,5.48,0.23
6457.4,5.94,0.2339999
6816.14,6.32,0.2376001
7246.64,6.73,0.2420001
7605.38,7.11,0.2456
7964.13,7.45,0.25
8394.62,7.91,0.2535999
8753.36,8.25,0.2579999
9183.86,8.77,0.2609
9686.1,9.31,0.2636001
10188.3,9.92,0.2659999
10618.8,10.44,0.2687
11121.1,10.98,0.2713999
11623.3,11.59,0.2738
12125.6,12.12,0.2767999
12556.1,12.65,0.2792
13058.3,13.26,0.2816
13488.8,13.72,0.2846
13991.0,14.25,0.2873001
14493.3,14.86,0.2896999
14923.8,15.32,0.3079996
15426.0,15.93,0.4429964
16000.0,16.74,0.5759928
16502.2,17.35,0.774987
17004.5,18.07,1.07249
17578.5,18.77,1.412503
18080.7,19.48,1.828011
18654.7,20.18,2.475995
19157.0,20.89,2.98
19730.9,21.59,3.822677
20233.2,22.2,4.665355
20735.4,22.91,5.402677
21237.7,23.62,6.14
21811.7,24.32,7.324045
21955.2,25.21,7.62
