storage,area,discharge
0.0,0.0,0.0
72.05,0.02,0.0
179.37,0.04,0.1083918
269.06,0.11,0.118182
358.74,0.17,0.1272727
448.43,0.24,0.1363634
627.8,0.38,0.1461541
717.49,0.44,0.1552448
896.86,0.59,0.1636366
1076.23,0.72,0.1734268
1255.61,0.86,0.1825175
1434.98,0.99,0.1923077
1704.04,1.21,0.2004001
1973.09,1.4,0.2060001
2152.47,1.66,0.2088
2511.21,1.96,0.2135999
2869.96,2.26,0.2184
3228.7,2.52,0.2239999
3587.44,2.82,0.2288
4035.87,3.24,0.2332001
4484.3,3.61,0.2379999
4932.74,4.03,0.241389
5560.54,4.61,0.2444445
6098.65,5.11,0.2474999
6726.46,5.78,0.25
7354.26,6.37,0.2530556
7892.38,6.94,0.2555555
8520.18,7.61,0.2583334
9237.67,8.37,0.2608333
9865.47,9.04,0.263611
10134.5,10.04,0.2641667
10762.3,10.71,0.2669444
11479.8,11.6,0.2691667
12197.3,12.49,0.2713887
12914.8,13.38,0.273611
13632.3,14.45,0.2755555
14349.8,15.34,0.2777777
15157.0,16.34,0.28
15874.4,17.23,0.2822221
16591.9,18.12,0.2844443
17309.4,19.19,0.2861111
18026.9,20.08,0.288611
18834.1,21.29,0.2949973
19641.3,22.49,0.3299977
20179.4,23.83,0.3499985
20986.5,25.03,0.3849989
21793.7,26.23,0.4150019
22511.2,27.57,0.4450012
23318.4,28.77,0.4750004
24125.6,30.27,0.4946561
24932.7,31.48,0.5055181
25201.8,33.48,0.507069
26009.0,34.99,0.5148281
26816.1,36.49,0.524138
27713.0,38.72,0.530345
28520.2,40.22,0.5381041
29327.4,41.72,0.545862
30134.5,43.73,0.552069
30941.7,45.23,0.5613801
31838.6,47.46,0.5675859
32645.7,49.46,0.573793
33452.9,50.97,0.6300095
34260.1,52.47,1.019976
35157.0,54.7,1.379985
35964.1,56.2,1.913363
36861.0,58.43,2.38
37219.7,60.21,3.18
