storage,area,discharge
0.0,0.0,0.0
156.95,0.01,0.0
205.99,0.06,0.0
313.9,0.1,0.06439029
470.85,0.15,0.1763147
784.75,0.33,0.2048001
1098.65,0.67,0.2088
1412.56,0.9,0.2139999
1569.51,1.02,0.2195999
2040.36,1.41,0.2244
2511.21,1.76,0.2295999
2982.06,2.11,0.2351999
3295.96,2.44,0.2388
3609.87,2.77,0.245
4080.72,3.36,0.2507144
4865.47,4.0,0.2592854
5493.27,4.52,0.267857
6121.08,5.04,0.2764287
6905.83,5.69,0.2849997
7690.58,6.42,0.2928569
8475.34,7.07,0.3014285
9260.09,7.72,0.3100001
9573.99,8.49,0.3128568
10672.6,9.66,0.3192856
11614.3,10.54,0.3271428
12713.0,11.7,0.3329463
13811.7,12.87,0.3373662
14910.3,14.04,0.3417856
16009.0,15.21,0.3466963
17107.6,16.37,0.3511161
18363.2,17.71,0.3560268
19461.9,18.88,0.3604462
20560.5,20.24,0.3643749
21345.3,21.4,0.3678124
22443.9,22.77,0.3717411
23699.6,23.93,0.3771429
24798.2,25.3,0.3810715
25896.9,26.46,0.385491
27152.5,27.8,0.3904016
28251.1,29.16,0.3943303
29663.7,31.26,0.3972766
30291.5,32.82,0.3992409
31547.1,34.37,0.4031696
32802.7,36.24,0.4066071
34215.2,37.99,0.4105358
35470.9,39.86,0.4139732
36412.6,41.6,0.4164284
37825.1,44.26,0.4193751
39237.7,46.34,0.4228126
40336.3,49.09,0.4247769
41748.9,51.7,0.427232
43161.4,54.37,0.4296875
44574.0,56.98,0.4326338
45986.5,59.6,0.4350893
47399.1,61.71,0.4385268
48811.7,64.32,0.4981717
50381.2,67.23,0.6727313
51793.7,69.84,0.8533214
53206.3,72.51,1.086679
54618.8,75.13,1.383992
56031.4,77.23,1.69
57443.9,79.85,2.115989
59013.5,82.76,2.477711
60583.0,85.1,3.021566
61995.5,87.71,3.41
63408.1,90.33,4.017969
64820.6,93.0,4.524662
66076.2,95.05,4.93
