storage,area,discharge
0.0,0.0,0.0
44.74,0.05,0.0
89.49,0.09,0.0
122.59,0.11,0.0
134.23,0.12,0.007999999
223.71,0.17,0.05199817
313.2,0.22,0.08400015
357.94,0.32,0.08899977
447.43,0.39,0.1013336
492.17,0.43,0.1160002
581.66,0.51,0.1320004
671.14,0.57,0.1456001
760.63,0.7,0.1505001
850.11,0.85,0.1546999
984.34,0.98,0.1624
1118.57,1.09,0.1708002
1297.54,1.26,0.1778001
1431.77,1.37,0.1862002
1610.74,1.54,0.1932001
1834.45,1.75,0.2009002
2013.42,1.92,0.2086002
2237.14,2.13,0.215143
2460.85,2.37,0.2215714
2684.56,2.58,0.2279999
2997.76,2.96,0.2331429
3266.22,3.25,0.2395713
3579.42,3.63,0.2447143
3847.87,3.91,0.2511428
4161.07,4.25,0.2569287
4429.53,4.57,0.2620712
4742.73,4.91,0.2685002
5055.93,5.29,0.2736427
5369.13,5.67,0.2787856
5682.33,6.05,0.2839286
5995.53,6.43,0.2897141
6308.72,6.81,0.2948571
6666.67,7.31,0.299357
7024.61,7.82,0.4079973
7382.55,8.33,0.5339987
7740.49,8.94,0.6419959
8098.43,9.37,0.9119931
8456.38,9.88,1.163986
8814.32,10.39,1.456959
9038.03,11.02,1.764971
9306.49,11.59,2.072983
9485.46,12.35,2.377965
9709.17,12.99,2.719957
9888.14,13.74,3.062035
10111.9,14.7,3.29
