storage,area,discharge
0.0,0.0,0.0
65.7,0.02,0.0
98.65,0.04,0.01600061
197.31,0.08,0.07999924
295.96,0.13,0.1029999
394.62,0.26,0.11
493.27,0.38,0.1178753
591.93,0.5,0.1248754
690.58,0.61,0.1318749
789.24,0.73,0.1397502
986.55,0.99,0.1458752
1085.2,1.19,0.1502504
1282.51,1.45,0.1572499
1578.48,1.74,0.1659997
1775.78,1.98,0.1729999
1973.09,2.24,0.18
2367.71,2.71,0.1840001
2762.33,3.23,0.1880002
3058.3,3.62,0.1919999
3255.61,4.01,0.1945001
3452.91,4.6,0.196
3847.53,5.12,0.2000001
4044.84,5.51,0.2024999
4242.15,6.3,0.2035001
4439.46,6.77,0.2055001
4735.43,7.65,0.2075002
5327.35,8.53,0.2105
5919.28,9.41,0.214
6511.21,10.29,0.2175
7103.14,11.17,0.221
7793.72,12.34,0.2235001
8089.69,13.05,0.2259999
8780.27,14.22,0.2285001
9470.85,15.39,0.2323999
10260.1,16.75,0.2371997
10950.7,18.1,0.2412
11641.3,19.27,0.2459998
12134.5,20.77,0.2491998
12825.1,22.12,0.2625718
13614.3,23.46,0.2814282
14304.9,24.84,0.2971435
14699.6,26.42,0.3034282
15192.8,28.39,0.3128565
15784.8,30.13,0.3222871
16179.4,31.71,0.3285718
16968.6,33.59,0.3442871
17856.5,35.7,0.3568565
18744.4,37.82,0.4364952
19632.3,40.43,0.5130097
20125.6,42.4,0.5895049
21013.5,44.52,0.6915049
21901.3,47.13,0.7934854
22690.6,49.01,0.899984
23578.5,51.12,1.019989
24170.4,53.49,1.080002
25058.3,56.1,1.237015
25946.2,58.21,1.504974
26834.1,60.9,1.70602
27722.0,64.46,1.922017
28215.2,67.36,2.085989
29103.1,69.97,2.331978
30089.7,73.92,2.496012
30977.6,76.53,2.824019
31865.5,79.22,3.070008
32161.4,82.51,3.152025
33049.3,85.2,3.398014
34035.9,89.14,3.644003
34923.8,91.75,3.889992
35811.7,95.31,4.135981
36206.3,97.63,4.217999
37094.2,100.24,4.546005
37488.8,105.17,4.627959
37982.1,108.07,4.709977
38475.3,110.97,4.874011
38968.6,113.88,5.037982
39560.5,118.43,5.12
