storage,area,discharge
0.0,0.0,0.0
7.85,0.02,0.0
23.54,0.04,0.0
39.24,0.06,0.0
54.93,0.08,0.0
70.63,0.1,0.01166679
86.32,0.11,0.02499937
102.02,0.13,0.04000026
117.71,0.15,0.0566678
133.41,0.17,0.08105208
149.1,0.19,0.08947356
180.49,0.23,0.09789503
204.04,0.26,0.1081825
227.58,0.29,0.1190907
251.12,0.32,0.13
274.66,0.35,0.13
298.21,0.38,0.13
329.6,0.42,0.13
360.99,0.46,0.13
392.38,0.5,0.13
423.77,0.54,0.18
455.16,0.58,0.2180002
478.7,0.61,0.2340005
510.09,0.65,0.2500009
541.48,0.69,0.2659997
580.72,0.75,0.2799996
627.8,0.82,0.2920007
682.74,0.9,0.3060006
729.82,0.97,0.3200005
776.91,1.04,0.332
823.99,1.11,0.3459999
871.08,1.19,0.3579994
926.01,1.28,0.3720009
980.94,1.37,0.3840004
1012.33,1.44,0.3920006
1067.26,1.54,0.4040001
1122.2,1.62,0.4159996
1177.13,1.73,0.4260002
1239.91,1.85,0.4360008
1302.69,1.98,0.4480003
1365.47,2.1,0.4579993
1420.4,2.21,0.468
1483.18,2.34,0.4780006
1514.57,2.46,0.4819999
1569.51,2.57,0.4920005
1632.29,2.69,0.5019996
1702.91,2.86,0.5099998
1773.54,3.03,0.5200003
1844.17,3.24,0.5260001
1914.8,3.41,0.5340003
1985.43,3.62,0.5420004
2016.82,3.81,0.5439993
2087.44,3.98,0.5519995
2158.07,4.14,0.5620001
2220.85,4.33,0.5679999
2291.48,4.5,0.576
2362.11,4.71,0.5819998
2432.74,4.88,0.6050034
2503.36,5.05,0.6650057
2519.06,5.24,0.6799977
2589.69,5.45,0.7249966
2660.31,5.61,0.7849988
2730.94,5.78,0.8450011
2801.57,5.99,0.9275072
2872.2,6.16,1.077507
2934.98,6.35,1.19
3013.45,6.54,1.44836
3076.23,6.69,1.671447
3146.86,6.85,1.9
3217.49,7.06,2.103333
3288.12,7.23,2.374462
3319.51,7.44,2.51
3358.74,7.66,2.51
3382.29,7.8,2.51
