storage,area,discharge
0.0,0.0,0.0
215.25,0.01,0.1501999
322.87,0.09,0.1585999
430.49,0.17,0.1664001
538.12,0.25,0.1732001
645.74,0.33,0.1784
753.36,0.41,0.1839999
968.61,0.57,0.1892001
1291.48,0.84,0.1939999
1614.35,1.08,0.1992001
1937.22,1.35,0.2044
2367.71,1.67,0.2095999
2690.58,1.94,0.2144
3121.08,2.29,0.2192001
3551.57,2.65,0.2239999
3982.06,3.01,0.2288
4520.18,3.45,0.2335999
5058.3,3.9,0.2384
5596.41,4.4,0.2428
6242.15,5.0,0.2472
6780.27,5.44,0.2509525
7533.63,6.15,0.2530477
8179.37,6.75,0.2551428
8825.11,7.43,0.2568572
9470.85,8.04,0.2589524
10224.2,8.74,0.2608571
10977.6,9.54,0.2627619
11730.9,10.34,0.2644762
12161.4,11.14,0.265619
12914.8,11.94,0.2673334
13668.2,12.75,0.2690476
14529.1,13.82,0.2705715
15390.1,14.73,0.2724762
16143.5,15.85,0.2738095
16896.9,16.79,0.2753334
17757.8,17.86,0.2768572
18618.8,18.78,0.2785715
19479.8,20.06,0.2799048
20125.6,21.66,0.2806667
21094.2,23.1,0.2818095
21955.2,24.39,0.2831428
22923.8,25.83,0.2844762
23784.8,27.11,0.2858095
24215.2,28.71,0.2861905
25076.2,30.0,0.2875239
26044.8,31.44,0.2888572
27013.5,33.24,0.2898095
28197.3,34.72,0.29
29165.9,36.52,0.3310078
30134.5,38.32,0.454
31103.1,39.77,0.5974961
32179.4,41.77,0.7
33148.0,43.57,0.8599878
34116.6,45.02,1.099986
35085.2,47.42,1.259988
36269.1,49.19,1.539984
37237.7,50.99,1.739994
38313.9,53.66,1.899996
39282.5,55.46,2.139984
40251.1,57.87,2.605822
41219.7,59.68,3.570597
42188.3,61.48,4.535225
43264.6,64.15,5.307015
43372.2,65.71,5.5
