storage,area,discharge
0.0,0.0,0.0
19.77,0.09,0.0
59.32,0.14,0.0
98.87,0.17,0.0
138.42,0.22,0.001923472
177.97,0.26,0.01730831
237.29,0.34,0.03269169
296.61,0.41,0.05
355.93,0.49,0.06346137
415.25,0.57,0.07884621
474.58,0.64,0.09230758
553.67,0.74,0.1083326
612.99,0.82,0.1216664
692.09,0.91,0.1350002
771.19,1.01,0.1483339
850.28,1.12,0.1600006
870.06,1.17,0.1666663
949.15,1.28,0.178333
1028.25,1.39,0.2700057
1127.12,1.52,0.3007317
1225.99,1.67,0.3015853
1324.86,1.8,0.302439
1423.73,1.95,0.3032927
1542.37,2.12,0.3041463
1661.02,2.3,0.3048781
1779.66,2.47,0.3057317
1918.08,2.68,0.3065854
2016.95,2.87,0.3071951
2155.37,3.1,0.3079269
2293.79,3.31,0.3087805
2432.2,3.58,0.3093902
2590.4,3.89,0.31
2649.72,4.24,0.3616568
2807.91,4.55,0.4908284
2966.1,4.86,0.62
3025.42,5.1,0.683149
3183.62,5.41,0.8410577
3341.81,5.72,1.030529
3480.23,5.99,1.188438
3638.42,6.3,1.48665
3796.61,6.61,1.829995
3974.58,7.03,2.110005
4033.9,7.38,2.249984
4231.64,7.72,2.774501
4389.83,8.09,3.138144
4567.8,8.44,3.653333
4725.99,8.81,4.097806
4844.63,9.16,4.890109
4963.28,9.51,5.745054
5090.0,9.94,6.6
