storage,area,discharge
0.0,0.0,0.0
26.85,0.03,0.0
53.69,0.06,0.0
80.54,0.09,0.0
107.38,0.12,0.0
161.07,0.19,0.0
214.77,0.26,0.0
241.61,0.29,0.003279386
295.3,0.36,0.02950947
348.99,0.42,0.05573705
375.84,0.45,0.08524652
456.38,0.55,0.1114766
510.07,0.62,0.1377042
563.76,0.68,0.1639343
644.3,0.78,0.1901643
724.83,0.89,0.209616
805.37,0.98,0.2249995
885.91,1.09,0.2403844
993.29,1.22,0.2557694
1100.67,1.36,0.2711543
1208.05,1.5,0.2846158
1315.44,1.64,0.3000007
1422.82,1.78,0.3153842
1557.05,1.96,0.3288457
1691.28,2.14,0.3442307
1798.66,2.28,0.3576921
1959.73,2.52,0.3711536
2093.96,2.72,0.3846151
2255.03,2.94,0.3980765
2389.26,3.14,0.4319984
2550.34,3.38,0.4693312
2738.26,3.7,0.4959992
2926.17,3.98,0.533332
3087.25,4.25,0.5604442
3275.17,4.57,0.5631111
3463.09,4.85,0.5662223
3651.01,5.17,0.5688888
3838.93,5.49,0.5711112
4053.69,5.86,0.5737778
4241.61,6.18,0.5764443
4456.38,6.54,0.5791113
4644.3,6.92,0.5813333
4859.06,7.34,0.5835557
5046.98,7.71,0.5857777
5288.59,8.13,0.5884447
5476.51,8.5,0.5906667
5664.43,8.87,0.592889
5879.19,9.24,0.5955556
6040.27,9.62,0.5973334
6255.03,10.05,0.5995559
6442.95,10.42,0.6426672
6657.72,10.79,0.7066721
6872.48,11.21,0.76
7087.25,11.64,1.10445
7275.17,12.02,1.461956
7516.78,12.59,1.789969
7758.39,13.17,2.2
7919.46,13.81,2.403969
8053.69,14.34,2.709961
8295.3,14.92,3.117977
8536.91,15.63,3.504065
8751.68,16.15,4.071978
8993.29,16.72,4.795412
9234.9,17.3,5.416941
9449.66,17.81,6.038471
9691.28,18.39,6.66
9932.89,19.11,7.265985
10040.3,19.75,7.669923
10281.9,20.47,8.275908
10523.5,21.19,9.359914
10657.7,22.33,9.7
