storage,area,discharge
0.0,0.0,0.0
358.74,1.08,0.0
538.12,1.67,0.0
717.49,2.21,0.0
1076.23,3.53,0.0
1434.98,4.84,0.0
1973.09,6.62,0.0
2331.84,7.81,0.0
2690.58,9.0,0.0
3228.7,10.97,0.0
3587.44,12.29,0.0
4125.56,14.07,0.0
4663.68,15.85,0.00090928
5201.79,17.83,0.00272784
5739.91,19.6,0.005454987
6278.03,21.38,0.008182134
6995.52,24.02,0.01142888
7713.0,26.65,0.01571444
8430.49,29.29,0.02
9147.98,31.66,0.0266678
9865.47,34.63,0.0311113
10941.7,38.57,0.0377774
11838.6,42.28,0.04250048
12735.4,45.57,0.05
13632.3,49.28,0.05499905
14708.5,52.84,0.06249881
15605.4,57.07,0.06999905
16861.0,62.26,0.07500047
17937.2,67.34,0.08
19192.8,72.53,0.08285777
20627.8,80.41,0.08571444
22062.8,88.34,0.08857221
23318.4,95.24,0.09200031
24753.4,103.17,0.09600092
26188.3,111.05,0.1
27623.3,118.98,0.1026322
29058.3,126.86,0.1078945
30493.3,134.79,0.1131588
31928.3,142.68,0.1184211
33183.9,149.61,0.1236834
34618.8,157.5,0.1263156
36053.8,165.43,0.1315799
37488.8,173.31,0.1368422
38923.8,181.24,0.1421065
40358.7,189.12,0.1473688
41793.7,197.05,0.1526312
43228.7,206.49,0.1552633
44663.7,214.42,0.1605276
46098.7,222.3,0.1657899
47533.6,231.81,0.1684221
49148.0,240.73,0.1736844
50583.0,250.17,0.1789487
52017.9,258.09,0.1815789
53632.3,268.79,0.1868432
55067.3,276.67,0.1921055
56681.6,287.36,0.1947377
58116.6,296.86,0.2
59551.6,304.75,0.211113
61165.9,315.44,0.233339
62600.9,324.94,0.2555565
64035.9,332.83,0.2666695
65650.2,343.52,0.288887
67264.6,354.21,0.3
68699.6,363.65,0.5266379
70000.0,375.06,0.64
