storage,area,discharge
0.0,0.0,0.0
66.13,0.01,0.0
113.31,0.03,0.05200122
226.63,0.1,0.07099981
339.94,0.14,0.09999975
453.26,0.22,0.1149999
566.57,0.29,0.1310003
793.2,0.46,0.1425001
1019.83,0.63,0.149
1246.46,0.78,0.1565001
1473.09,0.92,0.1644999
1813.03,1.21,0.1705
2266.29,1.51,0.1780001
2719.55,1.85,0.1845
3172.8,2.19,0.1914999
3739.38,2.61,0.1980002
4192.63,2.95,0.2045
4759.21,3.38,0.2115
5212.46,3.72,0.2179999
5779.04,4.19,0.224
6458.92,4.71,0.2304999
7025.5,5.18,0.2365
7705.38,5.75,0.2438891
8498.58,6.52,0.2516668
9291.78,7.29,0.2602223
10085.0,8.05,0.268
10878.2,8.81,0.2757776
11784.7,9.68,0.2843332
12691.2,10.7,0.2913335
13597.7,11.72,0.2983332
14504.2,12.74,0.3053329
15410.8,13.76,0.3319966
16317.3,14.98,0.42
17223.8,16.21,0.7069976
18243.6,17.59,1.035004
19150.1,18.6,1.403987
20170.0,19.98,1.690985
21189.8,21.36,1.977983
22096.3,22.57,2.581987
23116.1,24.3,3.05898
24136.0,25.68,3.510485
25155.8,27.4,3.897524
26175.6,29.1,4.369028
27308.8,31.02,5.262971
28328.6,32.75,6.157028
29348.4,34.45,7.050972
29688.4,37.29,7.2
